timestamp,temperature,pressure,humidity,light,oxidised,reduced,nh3,pm1,pm25,pm10
1603549455,21.309261183347267,1014.9375456970448,31.188851655320164,0.043478260869565216,111.01016000862558,294.5924163199419,316.2534903466104,3.1739130434782608,4.565217391304348,4.478260869565218
1603549517,21.841268339419226,1014.9510469379512,31.137950595872713,0.0,30.986611727932857,298.876636490197,288.70433931995086,2.875,5.416666666666667,5.583333333333333
1603549579,22.15688112619237,1014.9636771830778,30.85208899652203,0.041666666666666664,31.974384769897068,297.09578544061304,270.5473066308727,2.0833333333333335,4.541666666666667,4.416666666666667
1603549640,21.882178028687843,1014.9461882806496,31.142298517875208,0.0,32.56130605120932,296.00000000000006,259.63517615310377,2.0,6.0,6.130434782608695
1603549702,21.473440715761,1014.954916589315,31.73324998875073,0.0,33.05508536044065,295.5833333333334,252.45981427313473,2.375,5.791666666666667,6.125
1603549764,22.025252656474702,1014.9505470218664,30.99406208296753,0.0,33.42127248304157,294.5,246.96223718863658,3.2083333333333335,5.75,6.25
1603549826,22.1127424249437,1014.9397890313454,30.959416979772865,0.0,33.714257965465734,293.42325800376653,242.13092445359845,3.0,5.208333333333333,5.416666666666667
1603549888,22.192160023012406,1014.9305439910944,30.781570432883928,0.041666666666666664,33.97084734777508,291.86151844093206,238.09747938932279,2.9583333333333335,5.291666666666667,5.625
1603549951,22.055624316632816,1014.9265491956647,30.925311596598544,0.0,34.17388682062162,290.5562115152671,234.51404665336403,2.6666666666666665,5.166666666666667,5.375
1603550013,22.17261240559476,1014.9109334705091,30.79047147744812,0.0,34.36679140416529,290.0674157303372,231.79834893346654,2.75,4.791666666666667,5.25
1603550075,22.085930464917084,1014.8988072088787,30.813765059324272,0.0,34.538351904638496,290.0674157303372,229.1872227316089,3.0,4.708333333333333,5.666666666666667
1603550137,21.807207800713456,1014.8964026720599,31.12530518441714,0.0,34.677178087729935,290.0674157303372,227.3831530858292,2.0,3.6666666666666665,3.7083333333333335
1603550199,21.389033748263518,1014.9089140977065,31.63898631359105,0.0,34.82761348277652,290.0674157303372,225.38606119000738,2.7083333333333335,4.291666666666667,4.25
1603550262,21.76778953910565,1014.9133222401055,31.205487848148305,0.0,34.9784766793172,290.0674157303372,224.054718761407,2.875,5.208333333333333,6.041666666666667
1603550324,22.016217842254164,1014.8904169370074,30.91424832609211,0.0,35.096218669789856,289.6646370807441,222.2621988504342,2.125,4.458333333333333,5.125
1603550386,21.818874988456333,1014.8934340461768,31.088600981749135,0.0,35.19738476148733,288.7794191153052,220.85533066698986,2.0416666666666665,4.916666666666667,4.875
1603550448,21.780228775512473,1014.8979813582886,31.19883757514853,0.0,35.32695900648423,288.37574540204633,219.51382660687594,1.9166666666666667,3.4166666666666665,4.125
1603550510,21.95188507479828,1014.8934128197767,30.90864215132456,0.0,35.39465875370921,288.13407821229055,218.33796296296305,2.4166666666666665,5.041666666666667,6.541666666666667
1603550573,21.862776104429543,1014.9013806686954,30.88042510828467,0.0,35.43992604382991,288.13407821229055,216.91969845952153,3.0,6.0,6.541666666666667
1603550635,21.775317994972642,1014.9078481734678,31.041895580164113,0.041666666666666664,35.51914380154114,288.13407821229055,215.66582199524396,2.9166666666666665,5.125,5.291666666666667
1603550697,21.682003039539143,1014.9351920601515,31.17429610687239,0.0,35.564512134720154,287.7357748810263,214.77053868150566,2.875,5.208333333333333,5.625
1603550759,21.799496042602993,1014.9220188704567,30.980177017186463,0.041666666666666664,35.666666666666664,288.0544175460377,213.9296458030083,2.75,4.625,5.541666666666667
1603550821,22.029321349860407,1014.9202614453169,30.708697910842545,0.0,35.6837431693989,287.57645354852065,212.9469020948042,2.4166666666666665,3.8333333333333335,4.708333333333333
1603550884,22.006734285753932,1014.927056775492,30.697549176034645,0.041666666666666664,35.786202185792355,287.895096213532,212.02101132839695,2.125,3.8333333333333335,3.7916666666666665
1603550946,21.942194761720287,1014.9372076846247,30.763379221479585,0.0,35.82611532501428,287.895096213532,211.2946859903382,2.0416666666666665,3.6666666666666665,3.8333333333333335
