temperature,pressure,humidity,light,oxidised,reduced,nh3,pm1,pm25,pm10
26.094102075632428,1015.0368404735524,30.069142455009832,0.043478260869565216,2.834746635183898,416.1463738823451,43.684284811155756,6.217391304347826,11.043478260869565,11.565217391304348
26.995515315877384,1015.0371056953676,29.879779317424106,0.0,1.9016428254514963,426.21704239489463,67.70348094299821,6.041666666666667,9.708333333333334,11.625
27.0620278936415,1015.0552522958997,29.791293729225746,0.0,2.1819403958685677,418.3216105944671,84.00305388408081,6.166666666666667,10.166666666666666,11.833333333333334
27.14250265356799,1015.0728036692881,29.738372853643863,0.0,2.4626244904371655,413.48685326547934,97.71583252796991,5.833333333333333,10.166666666666666,11.25
27.148337652133893,1015.0674777908152,29.691415911905228,0.041666666666666664,2.7483860582540345,408.91228070175447,109.41364418350459,5.833333333333333,8.958333333333334,11.041666666666666
27.506465236137398,1015.0842535519623,29.222502854352182,0.0,3.0322164420011917,404.5655930871958,119.7509518645539,6.083333333333333,10.333333333333334,11.958333333333334
27.67083229004812,1015.0710809829956,29.083731023484308,0.0,3.306916581799971,398.900416219556,128.13427579623703,6.5,10.583333333333334,10.583333333333334
27.50987593029242,1015.0745136633208,29.162879215321095,0.0,3.5865897953206063,394.19404567073843,135.65143205247855,5.583333333333333,10.0,10.75
27.35593124705544,1015.0985105222835,29.13143502699515,0.0,3.8616228380583775,386.12739336745227,141.33886059712555,6.0,10.291666666666666,10.916666666666666
27.301764988319018,1015.1157134456568,29.068734213736075,0.0,4.114783561741825,378.579142430506,145.4527712806584,4.666666666666667,8.875,9.083333333333334
27.0882911840164,1015.1349373464336,29.078589671769365,0.0,4.367588337619349,373.2735042735044,149.11049496046803,6.458333333333333,9.958333333333334,9.958333333333334
27.386734944420482,1015.1387721552296,28.75303107627865,0.0,4.632508065444909,371.53192848020444,152.25924401786844,6.25,10.333333333333334,10.583333333333334
27.61782866653732,1015.1590718369494,28.639951040429064,0.0,4.89473584420351,370.30268199233734,155.93112817328344,5.0,8.5,9.833333333333334
27.54308271095518,1015.1565963158649,28.66235738980146,0.0,5.159254933396407,368.7063454574086,158.82742336549856,4.625,8.958333333333334,9.166666666666666
27.56127316674153,1015.1572130257288,28.605009379639906,0.0,5.4337062875724484,367.0089749645728,161.95911560355515,4.833333333333333,8.666666666666666,8.791666666666666
27.570388790192386,1015.1695576152575,28.652512110336158,0.0,5.708077987779125,366.0390489686665,164.59328123924163,5.375,8.541666666666666,9.708333333333334
27.673153417374877,1015.1545547123343,28.612190031307733,0.0,5.977131036545662,364.2435312024354,166.85292469210947,4.875,8.833333333333334,9.541666666666666
27.634488759498893,1015.1637433678355,28.61430784448483,0.0,6.238056649849621,362.45774345774356,168.44430882069733,5.583333333333333,9.458333333333334,10.75
27.72610780527629,1015.1683794462673,28.538177195817727,0.0,6.5037903990784285,359.750649978838,170.05605923821898,5.041666666666667,8.541666666666666,9.0
27.760946020880358,1015.1746622595365,28.470783656391735,0.0,6.766506417136363,357.5438660136649,171.58689809120315,6.041666666666667,10.041666666666666,10.5
27.622720206068266,1015.1787075864768,28.59606441193971,0.0,7.016580889384483,354.5547699060379,171.8919252960646,4.913043478260869,11.043478260869565,11.478260869565217
27.55540438889714,1015.1886048285611,28.74768989214532,0.0,7.279644625657208,352.06033848417957,172.11593023327524,5.083333333333333,8.625,9.208333333333334
27.53954422391095,1015.1944882317431,28.714233234599458,0.0,7.535259935730924,350.4932612989428,173.4235143982689,5.25,8.625,9.583333333333334
27.358694189855285,1015.1856380698632,28.965783407301185,0.0,7.792959027943579,348.3802316248138,173.53058608924263,4.833333333333333,8.375,9.458333333333334
27.5625943426006,1015.185606716272,28.813623170271754,0.0,8.052767603987128,347.1662080036695,174.3173174145045,4.875,8.791666666666666,9.458333333333334
27.583079629459192,1015.1877596922805,28.65821396648077,0.0,8.328703880533967,346.6143790849676,175.21755700111703,4.208333333333333,7.625,8.583333333333334
27.490871169908246,1015.1698146946633,28.816724285905256,0.0,8.59008115469481,346.0697167755994,175.90692617346494,3.7083333333333335,7.291666666666667,7.791666666666667
27.54223926991305,1015.1675429619689,28.796697573928167,0.0,8.85358288646739,343.56989247311844,176.27077126779213,4.083333333333333,7.5,8.125
27.449603720007758,1015.1695460936818,28.79371942376217,0.0,9.099161607953505,341.5323959194928,176.16153591525986,5.333333333333333,8.833333333333334,9.083333333333334
27.395239080694342,1015.169242498157,28.90991559615644,0.0,9.3552927612659,339.827129859388,176.0525733101746,4.791666666666667,7.75,8.416666666666666
27.457647860575975,1015.157176485825,28.83254880982742,0.0,9.625134459797929,339.08409153570443,176.7830188679245,5.375,9.958333333333334,10.625
27.52072833781085,1015.1623251187044,28.85134127094256,0.0,9.905934719860154,337.4046491371334,176.81970649895183,5.083333333333333,9.666666666666666,9.416666666666666
27.412800607612727,1015.1484691166185,28.91417024103146,0.0,10.153664035378458,336.04627912601813,176.70964360587004,4.541666666666667,8.125,9.291666666666666
27.59851721492485,1015.1606628187701,28.657174491947284,0.0,10.418174452645163,336.35668789808943,177.3347283002926,5.541666666666667,8.666666666666666,9.708333333333334
27.592811710182456,1015.172181492827,28.594891811825477,0.0,10.70287856258353,335.8393399446373,177.9620481364307,5.5,8.583333333333334,9.166666666666666
27.524211608708175,1015.1710779908041,28.614761701265525,0.0,10.985120937996431,335.49294174971715,178.72611839863214,4.739130434782608,8.826086956521738,10.695652173913043
27.465171785502378,1015.1643725346518,28.723868755508608,0.0,11.23369007752874,333.978188816495,179.04000619201034,4.458333333333333,8.166666666666666,10.125
